City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,lubaczow,50.157,23.1234,1.95,96,75,2.75,PL,1674456776
228,abu dhabi,24.4667,54.3667,20.54,54,0,2.57,AE,1674456534
229,san isidro,-12.1167,-77.05,22.23,83,20,3.6,PE,1674456777
230,snohomish,48.0498,-121.7179,-1.96,99,100,1.93,US,1674456777
231,ryazanskaya,44.9553,39.5889,-0.19,74,5,3.98,RU,1674456778
232,quelimane,-17.8786,36.8883,27.97,78,20,6.17,MZ,1674456778
233,namatanai,-3.6667,152.4333,27.84,75,100,4.03,PG,1674456778
234,alikalia,9.1667,-11.4,17.85,95,2,0.67,SL,1674456779
235,cabadiangan,9.7531,122.4739,26.55,80,100,5.12,PH,1674456779
236,sakakah,29.9697,40.2064,10.76,56,10,4.81,SA,1674456779
237,cabo san lucas,22.8909,-109.9124,18.06,84,11,0.45,MX,1674456602
238,port hardy,50.6996,-127.4199,5.1,87,100,3.09,CA,1674456780
239,bambanglipuro,-7.95,110.2833,29.74,66,97,4.61,ID,1674456780
240,paamiut,61.994,-49.6678,-7.47,72,98,7.59,GL,1674456752
241,carnarvon,-24.8667,113.6333,26.05,69,46,9.29,AU,1674456781
242,outram,1.2829,103.8379,28.38,93,75,3.09,MY,1674456781
243,srednekolymsk,67.45,153.6833,-33.47,97,100,2.72,RU,1674456781
244,port keats,-14.25,129.55,29.06,72,100,3.86,AU,1674456782
245,nouakchott,18.0858,-15.9785,12.96,35,0,5.11,MR,1674456782
246,lasa,46.6166,10.7002,1.12,75,92,2.16,IT,1674456782
247,kondinskoye,59.6481,67.41,-11.04,92,13,4.18,RU,1674456783
248,riyadh,24.6877,46.7219,14.08,48,81,6.37,SA,1674456600
249,zhigansk,66.7697,123.3711,-39.33,97,92,1.99,RU,1674456783
250,senges,-24.1128,-49.4636,19.68,92,100,1.0,BR,1674456783
251,cairns,-16.9167,145.7667,30.97,51,64,5.14,AU,1674456515
252,pevek,69.7008,170.3133,-31.92,90,96,0.87,RU,1674456784
253,palmer,42.1584,-72.3287,1.85,87,100,1.54,US,1674456784
254,solnechnyy,50.7214,136.6319,-29.04,98,100,2.06,RU,1674456753
255,roald,62.5833,6.1333,7.08,65,75,8.75,NO,1674456785
256,buchanan,5.8808,-10.0467,25.43,85,53,2.16,LR,1674456785
257,honningsvag,70.9821,25.9704,0.86,69,63,13.38,NO,1674456786
258,salta,-24.7859,-65.4117,21.33,90,75,2.06,AR,1674456786
259,kismayo,-0.3582,42.5454,28.44,67,16,7.67,SO,1674456786
260,codrington,-38.2667,141.9667,20.33,71,34,6.04,AU,1674456787
261,labuhan,-6.8844,112.2051,28.95,71,100,3.62,ID,1674456787
262,arinos,-15.9169,-46.1056,20.6,98,100,0.6,BR,1674456787
263,thinadhoo,0.5333,72.9333,26.89,75,95,1.96,MV,1674456788
264,avera,33.194,-82.5271,8.73,87,97,5.66,US,1674456788
265,kijang,35.2442,129.2139,11.85,34,100,3.78,KR,1674456789
266,whitianga,-36.8333,175.7,19.71,74,52,3.53,NZ,1674456706
267,constitucion,-35.3333,-72.4167,15.17,71,0,3.05,CL,1674456789
268,pushkinskiye gory,57.0209,28.9103,-6.76,96,100,1.25,RU,1674456790
269,murwillumbah,-28.3167,153.4,27.21,57,61,4.63,AU,1674456790
270,rosita,13.9268,-84.4032,19.97,99,30,1.1,NI,1674456790
271,sembakung,3.8167,117.25,28.97,78,99,0.57,ID,1674456791
272,kahului,20.8947,-156.47,24.91,73,75,4.12,US,1674456581
273,bontang,0.1333,117.5,28.41,71,100,1.77,ID,1674456791
274,derzhavinsk,51.1,66.3167,-10.64,89,16,3.29,KZ,1674456792
275,sampit,-2.5333,112.95,27.86,79,100,0.21,ID,1674456793
276,poum,-20.2333,164.0167,25.96,87,100,3.15,NC,1674456793
277,segovia,41.1667,-4.0,-2.79,88,57,3.07,ES,1674456794
278,rabo de peixe,37.8,-25.5833,14.73,82,20,7.2,PT,1674456794
279,anadyr,64.75,177.4833,-24.72,69,0,3.0,RU,1674456795
280,klaksvik,62.2266,-6.589,6.51,98,100,7.63,FO,1674456795
281,broome,42.2506,-75.833,1.03,90,100,2.57,US,1674456795
282,kovur,14.4833,79.9833,27.61,56,69,5.18,IN,1674456796
283,nueve de julio,-35.4444,-60.8831,18.31,78,0,0.45,AR,1674456796
284,iwanai,42.9744,140.5089,-5.34,90,100,2.07,JP,1674456796
285,upernavik,72.7868,-56.1549,-24.45,73,100,4.44,GL,1674456756
286,tautira,-17.7333,-149.15,23.9,83,100,5.11,PF,1674456797
287,yerbogachen,61.2767,108.0108,-33.18,95,100,3.09,RU,1674456797
288,bolobo,-2.1667,16.2333,25.28,75,100,1.25,CD,1674456798
289,ribeira grande,38.5167,-28.7,16.54,91,100,7.6,PT,1674456798
290,wanning,18.8003,110.3967,23.78,82,99,3.8,CN,1674456798
291,santa rosa,14.3122,121.1114,32.28,63,57,5.75,PH,1674456799
292,sorland,67.667,12.6934,5.92,77,100,19.53,NO,1674456799
293,canutama,-6.5339,-64.3831,21.73,99,90,1.17,BR,1674456800
294,beira,-19.8436,34.8389,29.05,74,40,3.09,MZ,1674456800
295,nsawam,5.8089,-0.3503,25.32,85,39,2.0,GH,1674456800
296,balkhash,46.844,74.9804,-12.66,66,0,3.0,KZ,1674456801
297,sohbatpur,28.5202,68.5434,19.06,25,0,1.0,PK,1674456801
298,comodoro rivadavia,-45.8667,-67.5,13.92,67,0,0.51,AR,1674456801
299,serebryansk,49.6925,83.2892,-17.32,77,100,4.03,KZ,1674456802
300,cabedelo,-6.9811,-34.8339,25.37,83,12,3.99,BR,1674456802
301,mpika,-11.8343,31.4529,17.72,92,100,4.21,ZM,1674456803
302,turayf,31.6725,38.6637,8.14,81,91,4.12,SA,1674456803
303,santa ines,-3.6667,-45.38,21.77,98,85,0.95,BR,1674456803
304,goure,13.9835,10.2704,19.19,14,100,3.16,NE,1674456804
305,nueva concepcion,14.2,-91.3,21.82,82,0,1.76,GT,1674456804
306,bubaque,11.2833,-15.8333,22.86,72,2,6.63,GW,1674456805
307,ayan,56.45,138.1667,-30.05,63,100,4.96,RU,1674456805
308,sidi ali,36.0998,0.4206,6.6,59,90,3.37,DZ,1674456805
309,pitsunda,43.1592,40.3378,5.1,52,0,3.41,GE,1674456806
310,lavrentiya,65.5833,-171.0,-27.73,93,13,5.5,RU,1674456806
311,jinchang,38.4953,102.1739,-14.78,30,71,7.36,CN,1674456806
312,kyaukse,21.6,96.1333,30.0,32,73,3.6,MM,1674456807
313,simao,22.7886,100.9748,24.04,18,100,2.3,CN,1674456807
314,ancud,-41.8697,-73.8203,12.46,93,1,1.57,CL,1674456807
315,syracuse,37.0881,15.2792,5.73,66,0,2.42,IT,1674456624
316,saint-louis,16.3333,-15.0,14.8,41,0,2.54,SN,1674456640
317,gao,16.6362,1.637,20.86,16,0,3.19,ML,1674456808
318,sambava,-14.2667,50.1667,28.51,61,63,1.16,MG,1674456808
319,husavik,66.0449,-17.3389,-7.64,72,2,7.46,IS,1674456809
320,prince rupert,54.3161,-130.3201,4.83,86,100,18.52,CA,1674456603
